Data,Info,Valor,Info1,Info2,Info3,Info4,Info5,Info6,Info7,Info8,Info9,Info10
2021-12-31,direcionamento_6101_br,"7.300.959.762,50",direcionamento,6101,br,,,,,,,
2021-11-30,imoveis_area_privativa_rr,"115,23",imoveis,area,privativa,rr,,,,,,
2021-10-31,imoveis_dormitorio_4_mais_sc,"28,00",imoveis,dormitorio,4,mais,sc,,,,,
2020-03-31,imoveis_dormitorio_4_mais_ce,"37,00",imoveis,dormitorio,4,mais,ce,,,,,
2018-11-30,imoveis_garantia_alienacao_fiduciaria_pi,"465,00",imoveis,garantia,alienacao,fiduciaria,pi,,,,,
2018-07-31,direcionamento_6123_br,"83.374.928.046,20",direcionamento,6123,br,,,,,,,
2021-02-28,imoveis_area_total_rn,"74,31",imoveis,area,total,rn,,,,,,
2014-06-30,direcionamento_6720_br,"38.882.400.462,56",direcionamento,6720,br,,,,,,,
2020-04-30,imoveis_implantacao_condominio_rs,"1.719,00",imoveis,implantacao,condominio,rs,,,,,,
2018-09-30,imoveis_area_privativa_sc,"61,29",imoveis,area,privativa,sc,,,,,,
2018-01-31,imoveis_tipo_apartamento_mg,"2.244,00",imoveis,tipo,apartamento,mg,,,,,,
2020-05-31,direcionamento_6206_br,"9.126.612.197,33",direcionamento,6206,br,,,,,,,
2021-03-31,imoveis_tipo_apartamento_go,"1.710,00",imoveis,tipo,apartamento,go,,,,,,
2021-12-31,direcionamento_6102_br,"9.937.549.905,45",direcionamento,6102,br,,,,,,,
2021-11-30,imoveis_area_privativa_rs,"51,55",imoveis,area,privativa,rs,,,,,,
2021-10-31,imoveis_dormitorio_4_mais_se,"5,00",imoveis,dormitorio,4,mais,se,,,,,
2020-03-31,imoveis_dormitorio_4_mais_df,"95,00",imoveis,dormitorio,4,mais,df,,,,,
2018-11-30,imoveis_garantia_alienacao_fiduciaria_pr,"3.319,00",imoveis,garantia,alienacao,fiduciaria,pr,,,,,
2018-07-31,direcionamento_6124_br,"69.518.437,39",direcionamento,6124,br,,,,,,,
2021-02-28,imoveis_area_total_ro,"73,54",imoveis,area,total,ro,,,,,,
2014-06-30,direcionamento_6722_br,"411.192.993,85",direcionamento,6722,br,,,,,,,
2020-04-30,imoveis_implantacao_condominio_sc,"1.429,00",imoveis,implantacao,condominio,sc,,,,,,
2018-09-30,imoveis_area_privativa_se,"62,15",imoveis,area,privativa,se,,,,,,
2018-01-31,imoveis_tipo_apartamento_ms,"348,00",imoveis,tipo,apartamento,ms,,,,,,
